plotID;horizonID;date;authors;weather;landform;position;slope;landuse;vegetation;human_influence;parent_material;rock_cover;rock_frag_cover;surface_sealing;cracks;surface_characteristics;erosion_category;erosion_area;erosion_degree;erosion_activity;horizon_cap;horizon_suffix;horizon_top;horizon_bot;full_profile_depth;comments_notes;distinctness;horizon_topography;carbonates;class_rock_fragments;abun_rock_fragments;shape_rock_fragments;weathering_rock_fragments;nature_rock_fragments;class_artefacts;abundance_artefacts;shape_artefacts;weathering_artefacts;nature_artefacts;soil_colour_matrix;munsell_colour_wet;abundance_mottling;grade_aggregates;type_aggregates;size_aggregates;cons_wet_aggregates;stickiness_aggregates;plasticity_aggregates;type_voids;size_voids;abundance_voids;abundance_coatings;abundance_concretions;size_diameter_roots;abundance_roots;abundance_biol_act;biol_act;diagnostic_horizon;diagnostic_properties;diagnostic_materials;reference_soil_group;principal_qualifiers;editor;institute
NPL7;28;13.05.2018;Bukombe;RA;TH;MS;SS;PN2;FE;N;SC;N;N;N;N;;N;;;;A2;h;8;19;100;;C;S;N;;N;;;;;N;;;;;7.5YR 2/2;N;WE;GR;FI;LO;NST;NPL;C;F;hard to quantify in the field;N;N;F;M;N;;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
NPL7;29;13.05.2018;Bukombe;RA;TH;MS;SS;PN2;FE;N;SC;N;N;N;N;;N;;;;AB;h, w;19;27;100;;C;W;N;;N;;;;;N;;;;;7.5YR 2/2;V;MO;SB;ME;FR;SST;NPL;I;V;hard to quantify in the field;N;N;F-M;F;N;;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
NPL7;30;13.05.2018;Bukombe;RA;TH;MS;SS;PN2;FE;N;SC;N;N;N;N;;N;;;;B1;w;27;65;100;;C;I;N;C;V;S;W;MA;;N;;;;;7.5YR 2/3;N;MO;SA;CO;FI;ST;SPL;I;V;hard to quantify in the field;V;N;M-C;C;N;;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
NPL7;31;13.05.2018;Bukombe;RA;TH;MS;SS;PN2;FE;N;SC;N;N;N;N;;N;;;;B2;w;65;;100;Lower horizon boundary not reached;Lower horizon boundary not reached;Lower horizon boundary not reached;N;C;F;S;W;MA;;N;;;;;7.5YR 2/2;N;MO;AS;CO;FR;ST;SPL;I;V;hard to quantify in the field;C;N;M;F;;charcoal;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
NPL11;32;14.05.2018;Reichenbach;OV;LV;BO;SS;PN2;FE;N;SC;N;N;N;N;;N;;;;A;h;0;40;100;"Few quartz pebbles in the Ah at the lower boundary to the Cr1; Ah smells rotten which point to sulfur; The watertable is reached at 70-100 cm depth; The whole profile is wet up to the terrain surface";C;I;N;F-C;F;R;F;QU;;N;;;;very dgr to black;10G 1.7/1;N;N;MA;N;VFR;ST;PL;C;V;F;N;N;VF-C;F, F;;N;;gleyic;fluvic;Gleysol;fluvic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
NPL11;33;14.05.2018;Reichenbach;OV;LV;BO;SS;PN2;FE;N;SC;N;N;N;N;;N;;;;C1;r;40;65;100;;A;W;N;F-B;D, S;R;F;QU;;N;;;;blueish dgr;5G 3/1;N;N;MA;N;FI;SST;NPL;I;V;hard to quantify in the field;N;N;VF-F;V;;N;;gleyic;fluvic;Gleysol;fluvic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
NPL11;34;14.05.2018;Reichenbach;OV;LV;BO;SS;PN2;FE;N;SC;N;N;N;N;;N;;;;C2;r;65;;100;Lower horizon boundary not reached;Lower horizon boundary not reached;Lower horizon boundary not reached;N;;N;;;;;N;;;;blueish hgr + yellow orange + hgr to white;10G 6/1;M;N;MA;N;VFI;SST;NPL;I;V;hard to quantify in the field;N;N;;N;;N;;gleyic;fluvic;Gleysol;fluvic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL1;36;09.06.2018;Bukombe;SU;LL;CR;S;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;N;;;;A;h;0;15;100;;A;W;N;;N;;;;;N;;;;;5YR 1.7/1;N;WE;SG;FI;SO;SST;SPL;I;V;hard to quantify in the field;N;N;VF-F;C;F;E, T;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL1;37;09.06.2018;Bukombe;SU;LL;CR;S;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;N;;;;A/B;h, w;15;30;100;;C;W;N;;N;;;;;N;;;;;5YR 2/1;N;WE;SG;FI;SO;SST;SPL;I;V;hard to quantify in the field;N;N;C;F;F;E;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL1;38;09.06.2018;Bukombe;SU;LL;CR;S;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;N;;;;AB;h, w;30;39;100;;C;S;N;;N;;;;;N;;;;;5YR 3/4;N;MO;SB;ME;SH;SST;SPL;I;V;hard to quantify in the field;N;N;C;V;N;;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
