plotID;species;mean_N;sd_N;mean_C;sd_C;mean_Al;sd_Al;mean_Ca;sd_Ca;mean_Fe;sd_Fe;mean_K;sd_K;mean_Mg;sd_Mg;mean_Mn;sd_Mn;mean_Na;sd_Na;mean_P;sd_P;mean_Si;sd_Si
NPL12;Syzygium Guineense;1.38;0.1;47.91;0.89;34.8;1.93;151.96;111.72;4067.45;3584.53;158.34;119.32;4094.3;3917.76;2191.6;1834.45;321.31;320.2;13.11;11.32;485.74;360.39
NPL2;Cleistanthus Polystachyus;2.1;2.13;50.1;50.68;16.52;13.12;131.17;50.97;2886.24;1331.45;199.41;79.68;5443.4;332.09;1630.22;1054.91;129.44;37.29;15.68;2.2;1061.13;143.15
NPL2;Syzygium Guineense;1.77;0.28;47.79;0.38;27.31;4.13;697.78;786.31;5169.87;2140.65;150.41;10.7;6496.71;1153.57;2412.31;8.37;429.54;54.66;20.11;8.8;738.35;101.51
NPL2;Sericanthe Leonardii;-9999;-9999;-9999;-9999;-9999;-9999;205.65;-9999;16038.69;-9999;258.59;-9999;10294.73;-9999;372.61;-9999;46.83;-9999;91.63;-9999;1005.85;-9999
NPL3;Diospyros Gabunensis;2.65;0.26;49.59;0.41;18.85;1.66;619.46;70.6;3594.16;647.09;248.23;87.74;9018.71;2077.41;2167.54;168.04;494.68;87.71;11.33;1.12;827.04;81.22
NPL3;Cleistanthus Polystachyus;2.09;0.1;48.52;0.71;23.22;1.33;116.46;45.79;4836.99;1706.37;187.74;51.25;6151.07;3180.79;2016.57;851.28;425.01;207.11;24.12;13.33;1009.79;156.45
NPL3;Parinari Excelsa;1.92;-9999;46.94;-9999;24.39;-9999;181.74;-9999;3928.94;-9999;204.21;-9999;13626.71;-9999;2009.39;-9999;30.63;-9999;30.63;-9999;1409.03;-9999
NPL4;Melchiora Schliebenii ;1.71;-9999;49.44;-9999;28.93;-9999;888.15;66.52;5156.92;102.9;272.02;36.94;5625.81;1142.96;2595.17;951.08;498.96;199.06;45.86;11.81;2739.64;1199.45
NPL4;Pentadesma Reindersii;1.79;0;48.72;0.59;27.23;0.32;379.64;259.53;3400.22;118.61;427.9;268.35;6017.25;302.31;1970.04;804.97;320.55;5.16;25.12;1.27;738.93;108.23
NPL4;Syzygium Guineense;1.71;0.3;46.95;3.66;27.87;3.57;305.22;93.28;4515.59;1004.56;310.48;59.67;5903.79;2894.7;1732.33;210.7;337.96;78.67;21.32;4.04;859.02;196.39
NPL4;Carapa Grandiflora;1.9;0.02;49.12;0.09;25.79;0.29;153.35;108.6;3538.67;1023.81;201.18;115.01;10961.21;4138.82;1950.47;310.13;71.59;20.92;17.04;2.09;1381.84;469.96
NPL4;Cleistanthus Polystachyus;2.17;0.21;48.58;0.4;22.53;1.94;195.26;114.93;2596.95;1163.74;250.73;121.44;5272.08;703.76;1363.36;296.63;383.89;256.22;23.51;7.08;971.57;136.82
NPL5;Syzygium Guineense;1.67;0.29;86.1;53.74;49.41;23.66;251.85;1.04;5801.74;334.8;242.58;30.9;8237.76;4882.46;2306.97;192.4;232.29;264.32;34.06;9.1;937.96;166.58
NPL5;Pentadesma Reindersii;1.64;0.11;47.77;3.24;29.31;4.01;501.61;574.77;3519.88;348.07;178.24;25.07;6559.18;426.96;1761.34;310.63;250.5;230.2;22.99;11.39;744.49;97.98
NPL5;Melchiora Schliebenii ;1.76;0.06;47.85;3.52;27.16;2.94;455.36;499.71;3196.26;1151.3;236.01;61.27;6348.62;1326.07;2036.02;401.37;463.29;210.42;17.39;8.56;729.77;90.02
NPL5;Cleistanthus Polystachyus;1.8;0.12;48.43;0.67;27.01;1.97;177.63;52.26;9147.73;5948.47;253.23;85.58;6245.22;3406.66;3241.95;2189.74;610.61;611.91;59.35;42.56;870.65;96.37
NPL6;Syzygium Guineense;1.73;0.17;47.76;0.93;27.76;3.2;219.07;13.49;4947.02;256.66;231.8;15.58;7090.31;4192.29;1988.15;1043.21;426.77;457.1;20.54;1.42;675.68;163.54
NPL6;Diospyros Gabunensis;2.16;0.16;50.13;0.85;23.35;2;357.92;259.05;5085.92;612.47;225.41;148.07;8867.33;4254.94;2607.92;567.64;486.97;455.2;14.31;2.65;981.5;239.68
NPL6;Strombosia Scheffleri;3.35;0.18;48.45;0.4;14.51;0.9;170.68;48.71;2914.01;809.31;259.59;105.99;8901.25;588.13;1407.15;195.92;253.75;107.44;18.82;4.08;1539.93;306.98
NPL6;Cleistanthus Polystachyus;2.15;0.28;47.73;0.29;22.44;3.04;196.48;17.21;6918;3936.85;277.59;15.52;7143.82;1734.06;2332.31;1109.9;372.95;273.22;43.59;41.26;999.73;77.2
NPL7;Pentadesma Reindersii;1.8;-9999;49.45;-9999;27.48;-9999;195.74;40.61;4050.12;112.74;234.08;30.16;5980.77;1718.46;2028;401.92;571.26;554.81;24.48;3.69;842.93;59.24
NPL7;Cleistanthus Polystachyus;1.92;0.4;47.67;1.56;25.7;5.7;103.9;36.75;6063.18;4288.42;231.8;156.08;8044.22;4539.04;1600.05;552.46;419.97;453.69;21.55;8.74;1135.18;285.24
NPL7;Ocotea Usambarensis;2.08;-9999;50.99;-9999;24.49;-9999;260.28;-9999;3999.6;-9999;230.48;-9999;5324.86;-9999;1559.71;-9999;443.08;-9999;17.88;-9999;985.5;-9999
NPL8;Cleistanthus Polystachyus;2.16;0.46;48.2;1.77;23.06;4.8;195.38;57.69;3951.79;1141.84;284.68;93;6028.86;2631.57;1720.75;778.4;710.66;336.33;20.38;5.68;857.67;74.95
NPL8;Pentadesma Reindersii;2.16;-9999;46.95;-9999;21.72;-9999;972.2;-9999;3970.65;-9999;385.29;-9999;5609.62;-9999;2695.01;-9999;828.47;-9999;13.97;-9999;782.55;-9999
NPL9;Strombosia Scheffleri;3.61;0.22;48.08;1.17;13.34;0.9;161.16;35.97;2514.53;1475.46;285.26;43.92;7265.42;768.37;1290.91;572.58;166.42;56.45;16.92;2.11;1359.09;258.31
NPL9;Cleistanthus Polystachyus;2.06;0.13;48.66;0.37;23.65;1.33;208.25;65.02;3242.84;2062.47;506.86;434.89;7232.7;1625.33;1467.4;926.12;243.93;149.09;36.56;39.38;928.31;144.05
NPL9;Parinari Excelsa;1.73;-9999;45.22;-9999;26.19;-9999;292.44;-9999;14892.35;-9999;219.84;-9999;23213.84;-9999;1407.75;-9999;38.32;-9999;64.54;-9999;1895.83;-9999
UPL1;Celtis Durandii;3.29;0.71;40.65;3.46;12.6;1.84;106.16;45.22;8142.2;2210.4;289.88;206.34;20473.85;6420.78;2438.44;830.17;100.84;76.13;65.55;20.46;2215.89;853.23
UPL1;Banquetredendron Oblanceolatum;2.17;0.28;47.72;3.38;22.1;1.29;194.17;16.18;8308.07;2354.64;382.49;128.75;10987.95;2604.52;2910.09;194.26;86.18;5.17;70.41;18.99;944.31;115.61
UPL1;Uvariopsis Congnesis;3.27;0.33;43.28;1.43;13.29;0.92;156.97;121.3;12537.59;6878.63;335.45;77.1;17846.56;3676.74;1689.4;242.24;53.16;28.92;102.35;52.22;1467.33;409.35
UPL1;Aphania Senegalensis;2.38;0.07;45.5;0.69;19.17;0.86;200.14;8.65;11127.82;10223.27;298.5;39.83;13765.28;5958.56;3621.3;1603.99;270.05;311.92;194.11;251.86;1906.14;1562.91
UPL1;Markhamia Platycalyx;3.05;-9999;46.13;-9999;15.12;-9999;117.38;-9999;9961.36;-9999;170.2;-9999;19367.14;-9999;1686.31;-9999;31.3;-9999;62.6;-9999;2519.69;-9999
UPL1;Rauwolfia Vomitoria;2.14;-9999;60.38;-9999;28.2;-9999;236.21;-9999;18601.45;-9999;320.85;-9999;29461.15;-9999;2606.17;-9999;104.33;-9999;155.5;-9999;2082.57;-9999
UPL1;Chryssophylum Albidum;2.33;-9999;49.22;-9999;21.17;-9999;89.22;-9999;7386.47;-9999;141.7;-9999;9849.86;-9999;1733.03;-9999;46.57;-9999;53.79;-9999;1271.32;-9999
UPL10;Celtis Durandii;2.02;-9999;32.43;-9999;16.07;-9999;173.32;-9999;22017.53;-9999;204.48;-9999;4253.16;-9999;2829.6;-9999;288.22;-9999;208.37;-9999;946.45;-9999
UPL10;Aphania Senegalensis;2.11;-9999;46.18;-9999;21.9;-9999;104.12;-9999;7066.76;-9999;161.97;-9999;8370.21;-9999;1652.45;-9999;107.98;-9999;53.99;-9999;1259.1;-9999
UPL10;Chryssophylum Albidum;2.83;-9999;50.33;-9999;17.79;-9999;221.96;-9999;19706.29;-9999;254.48;-9999;22052.14;-9999;2171.73;-9999;30.61;-9999;403.73;-9999;1107.87;-9999
UPL10;Margrituria;2.94;-9999;63.46;-9999;21.58;-9999;106.77;-9999;6165.49;-9999;132.01;-9999;8790.1;-9999;2059.69;-9999;58.24;-9999;48.53;-9999;675.56;-9999
UPL10;Rauwolfia Vomitoria;2.55;-9999;44.04;-9999;17.26;-9999;44.01;-9999;8894.42;-9999;91.85;-9999;21813.14;-9999;2103.05;-9999;26.79;-9999;38.27;-9999;1972.92;-9999
UPL11;Uvariopsis Congnesis;3.42;0.15;44.05;1.28;12.87;0.29;118.08;45.06;10846.54;4171.82;181.44;73.43;15716.37;6410.28;2848.86;806.81;254.67;271.32;210.03;120.43;1382.55;204.69
UPL11;Chryssophylum Albidum;2.84;0.07;62.17;17.05;21.95;6.56;164.19;11.4;8884.57;4537.37;260.42;55.25;11552;3940.92;1521.49;324.68;75.71;3.66;83.5;25.86;1193.62;365.99
UPL11;Celtis Durandii;3.17;0.72;37.02;0.35;11.97;2.59;231.84;27.83;15969.93;14974.36;381.38;216.87;12773.6;4130.42;2418.5;296.43;72.34;9.87;218.89;200.2;1100.7;283.53
UPL11;Banquetredendron Oblanceolatum;2.26;0.94;43.64;4.83;21.96;9.47;163.18;154.57;15596.17;18837.04;219.86;232.63;16696.67;21819.02;4126.17;5647.56;95.25;116.51;109.89;110.32;748.62;668.22
UPL11;Tabernaemontana Holistii;2.25;-9999;71.39;-9999;31.73;-9999;126.45;-9999;5812.95;-9999;171.2;-9999;16481.69;-9999;2682.75;-9999;202.32;-9999;60.31;-9999;957.15;-9999
UPL11;Dasylepis Eggelingii;2.69;-9999;42.08;-9999;15.67;-9999;123.74;-9999;7809.6;-9999;163.66;-9999;13846.92;-9999;2915.88;-9999;331.3;-9999;61.87;-9999;2009.78;-9999
UPL11;Funtumia Latifolia;1.75;-9999;48.02;-9999;27.47;-9999;161.75;-9999;1817.63;-9999;268.9;-9999;4450.06;-9999;1037.2;-9999;202.18;-9999;12.13;-9999;940.15;-9999
UPL11;Bersama Abyssinica;1.79;-9999;40.9;-9999;22.88;-9999;152.45;-9999;26037.33;-9999;207.17;-9999;4463.99;-9999;3645.07;-9999;50.82;-9999;308.8;-9999;1274.31;-9999
UPL11;Aphania Senegalensis;2.14;-9999;64.21;-9999;30.05;-9999;163.04;-9999;18335.82;-9999;369.82;-9999;16870.46;-9999;3240.88;-9999;53.68;-9999;133.21;-9999;1270.5;-9999
UPL12;Uvariopsis Congnesis;3;0.62;44.55;1.11;15.33;3.63;120.81;24.8;9067.51;3235.4;252.63;74.42;19731.22;2408.71;2897.03;801.86;179.07;148.02;102.48;49.27;1755.9;523.61
UPL12;Banquetredendron Oblanceolatum;1.78;0.09;46.32;0.31;26.02;1.51;177.14;29.8;7567.71;3794.2;244.86;77.17;8579.01;3516.64;1287.2;514.22;64.87;48.85;72.05;46.66;1043.1;87.75
