plotID;species;mean_N;sd_N;mean_C;sd_C;mean_Al;sd_Al;mean_Ca;sd_Ca;mean_Fe;sd_Fe;mean_K;sd_K;mean_Mg;sd_Mg;mean_Mn;sd_Mn;mean_Na;sd_Na;mean_P;sd_P;mean_Si;sd_Si
UPL5;Celtis Durandii;5.87;-9999;43.27;-9999;7.37;-9999;102.72;-9999;8617.05;-9999;270.8;-9999;27160.33;-9999;1200.86;-9999;26.15;-9999;61.63;-9999;1733.12;-9999
UPL5;Chryssophylum Albidum;2.93;-9999;49.17;-9999;16.79;-9999;177.11;-9999;5096.92;-9999;226.31;-9999;16823.77;-9999;2495.33;-9999;135.79;-9999;55.1;-9999;1182.72;-9999
UPL6;Trema Orientalis;2.35;-9999;43.63;-9999;18.6;-9999;217.71;180.97;8010.37;2111.34;271.03;70.23;16684.5;3937.19;2742.7;199.51;161.12;148.89;152.12;116.42;1498.07;436.69
UPL6;Uvariopsis Congnesis;3.43;0.4;43.05;2.35;12.59;0.77;141;45.55;13803.05;2776.4;269.69;162.02;13441.99;5475.18;5042.64;199.32;607.83;721.64;129.92;61.22;1234.41;301.23
UPL6;Funtumia Latifolia;2.02;0.45;48.44;0.02;24.61;5.52;70.52;0.85;4294.46;4194.36;144.7;20.99;15180.36;13542.85;2109.52;1629.92;141.16;6.62;24.22;20.12;1690.63;882.12
UPL6;Banquetredendron Oblanceolatum;1.99;0.29;51.74;9.28;26.83;8.56;147.93;121.65;11514.76;6438.34;331.34;324.04;22075.44;15289.91;2509.72;653.9;219.79;204.32;92.03;33.67;1623.19;838.95
UPL6;Celtis Durandii;2.7;0.38;37.07;1.74;13.84;1.28;369.2;130.72;22732.89;6851.13;770.93;323.32;15407.95;10539.89;4564.15;1563.82;73;21.25;271.98;91.4;1451.86;157.05
UPL6;Chryssophylum Albidum;2.69;-9999;49.09;-9999;18.28;-9999;50.39;-9999;4269.38;-9999;122.09;-9999;12085.27;-9999;1866.28;-9999;455.43;-9999;23.26;-9999;1961.24;-9999
UPL6;Frema Orientalis;2.93;-9999;44.3;-9999;15.14;-9999;351.6;-9999;8468.55;-9999;86.49;-9999;19136.97;-9999;6234.84;-9999;116.57;-9999;9.4;-9999;1222.15;-9999
UPL6;Ritchiea Albersii;2.23;-9999;48.37;-9999;21.71;-9999;251.52;-9999;19968.06;-9999;475.1;-9999;17380.98;-9999;3277.77;-9999;55.89;-9999;259.51;-9999;1283.56;-9999
UPL7;Diospyros Abyssinica;2.69;0.32;48.03;0.64;18.09;2.56;214.78;109.45;11225.97;8058.48;289.26;139.08;12451.39;4812.13;2595.45;1546.24;420.35;346.89;112.45;72.87;1253.04;231.55
UPL7;Cheatachme Aristata;2.21;-9999;56.79;-9999;25.75;-9999;107.32;-9999;5912.2;-9999;146.34;-9999;15705.37;-9999;2675.12;-9999;130.73;-9999;44.88;-9999;1092.68;-9999
UPL7;Chryssophylum Albidum;2.84;-9999;45.96;-9999;16.18;-9999;76.15;-9999;6211;-9999;139.3;-9999;6770.06;-9999;2210.25;-9999;365.9;-9999;22.29;-9999;1071.69;-9999
UPL7;Pterygota Mildbraedii;2.46;-9999;47.31;-9999;19.2;-9999;146.13;-9999;16635.17;-9999;216.27;-9999;12190.94;-9999;2123.72;-9999;245.49;-9999;101.32;-9999;1188.5;-9999
UPL7;Strombosia Scheffleri;3.13;-9999;43.45;-9999;13.89;-9999;107.35;-9999;13031.16;-9999;268.38;-9999;20810.1;-9999;4884.45;-9999;495.01;-9999;101.39;-9999;2361.71;-9999
UPL7;Teclea Nobilis;2.01;-9999;40.57;-9999;20.14;-9999;180.41;-9999;26339.48;-9999;219.2;-9999;11452.96;-9999;3103.78;-9999;102.81;-9999;100.87;-9999;1039.77;-9999
UPL7;Uvariopsis Congnesis;3.53;-9999;43.82;-9999;12.42;-9999;68.31;-9999;9410.35;-9999;182.82;-9999;20080.36;-9999;3320.94;-9999;385.74;-9999;66.3;-9999;1552.99;-9999
UPL7;Monodora Angolensis;3.2;-9999;44.53;-9999;13.9;-9999;108.89;-9999;14137.79;-9999;164.32;-9999;26600.67;-9999;3741.83;-9999;122.75;-9999;79.19;-9999;3143.93;-9999
UPL7;Drypetes Ugendensis;2.59;-9999;41.65;-9999;16.07;-9999;54.44;-9999;5191.79;-9999;211.7;-9999;20888.15;-9999;2808.61;-9999;66.54;-9999;44.36;-9999;2072.69;-9999
UPL8;Uvariopsis Congnesis;3.51;0.29;43.09;0.71;12.31;0.86;107.25;48.63;9768.97;2453.4;161.88;46.29;15179.24;3293.27;3161.5;965.57;292.12;314.16;59.93;14.49;1283.57;146.48
UPL8;Teclea Nobilis;2.71;0.16;42.11;0.21;15.54;0.83;161.46;45.2;14292.57;10439.4;209.96;19.36;12298.4;2139.88;2615.96;511.84;354.86;342.29;64.6;8.37;1076.28;74.61
UPL8;Chryssophylum Albidum;3.13;-9999;48.78;-9999;15.6;-9999;184.44;-9999;4450.93;-9999;259.72;-9999;4785.92;-9999;1641.1;-9999;715.16;-9999;18.82;-9999;948.53;-9999
UPL8;Diospyros Abyssinica;2.86;-9999;47.19;-9999;16.49;-9999;107.3;-9999;13661.72;-9999;224.35;-9999;14473.27;-9999;4024.58;-9999;981.27;-9999;64.38;-9999;1229.03;-9999
UPL8;Monodora Angolensis;2.7;-9999;41.14;-9999;15.26;-9999;86.26;-9999;2938.64;-9999;129.39;-9999;7106.45;-9999;888.06;-9999;562.63;-9999;11.76;-9999;1033.13;-9999
UPL8;Pterygota Mildbraedii;2.77;-9999;45.82;-9999;16.52;-9999;94.87;-9999;17261.95;-9999;129.18;-9999;15925.72;-9999;2240.5;-9999;756.93;-9999;125.15;-9999;1483.57;-9999
UPL8;Tabernaemontana Holistii;2.59;-9999;62.35;-9999;24.03;-9999;151.57;-9999;7991.17;-9999;249.42;-9999;12099;-9999;2657.33;-9999;141.98;-9999;234.08;-9999;1481.2;-9999
