plotID;treeID;sampling_date;Species;N;C;CN;Al;Ca;Fe;K;Mg;Mn;Na;P;Si
UPL4;3154;28.12.2018;Chryssophylum Albidum;2.389;60.134;25.167;149.870;11112.000;191.830;6268.360;769.310;11.990;51.950;1314.820;243.780
UPL4;3155;28.12.2018;Banquetredendron Oblanceolatum;1.695;65.324;38.530;168.360;4912.560;212.460;16377.210;2629.650;54.120;50.110;1236.660;485.040
UPL5;3157;28.12.2018;Lovoa Brownii;3.910;74.115;18.956;87.580;7661.230;131.370;22533.840;2412.420;59.710;139.330;2103.900;513.540
UPL5;3161;28.12.2018;Monodora Angolensis;3.038;43.464;14.305;115.470;6058.130;181.170;12876.770;2550.270;437.990;49.770;1122.830;258.810
UPL5;3162;28.12.2018;Bosquecia Phaberas;3.098;45.800;14.784;308.290;7576.700;171.930;28265.400;5068.920;349.790;19.760;1827.970;339.900
UPL5;3163;28.12.2018;Chryssophylum Albidum;2.928;49.174;16.791;177.110;5096.920;226.310;16823.770;2495.330;135.790;55.100;1182.720;452.620
UPL5;3171;28.12.2018;Funtumia Latifolia;2.049;69.992;34.155;116.850;8058.800;301.550;18690.160;3774.970;405.200;62.190;963.060;2548.060
UPL5;3175;28.12.2018;Ehretia Cymosariter;1.675;41.730;24.907;132.840;11297.710;231.980;26334.890;5050.060;25.780;91.210;5127.390;1048.870
UPL5;3181;28.12.2018;Celtis Durandii;5.867;43.266;7.374;102.720;8617.050;270.800;27160.330;1200.860;26.150;61.630;1733.120;967.410
UPL5;3184;28.12.2018;Tabernaemontana Holistii;3.005;44.786;14.902;173.850;5336.720;519.610;21153.490;3621.620;128.930;56.650;3051.230;1058.750
UPL5;3188;28.12.2018;Pseudospondias Microcarpa;1.815;40.215;22.156;193.090;19619.620;575.400;6427.880;3726.590;13.520;231.700;1415.330;1562.080
UPL5;3192;28.12.2018;Uvariopsis Congnesis;2.764;42.304;15.308;111.060;12633.250;144.780;12129.510;3561.900;545.390;103.130;975.750;394.670
UPL10;3215;15.01.2019;Celtis Durandii;2.019;32.434;16.068;173.320;22017.530;204.480;4253.160;2829.600;288.220;208.370;946.450;1187.930
UPL10;3225;15.01.2019;Rauwolfia Vomitoria;2.551;44.043;17.262;44.010;8894.420;91.850;21813.140;2103.050;26.790;38.270;1972.920;933.840
UPL10;3226;15.01.2019;Chryssophylum Albidum;2.830;50.335;17.786;221.960;19706.290;254.480;22052.140;2171.730;30.610;403.730;1107.870;2550.590
UPL10;3227;15.01.2019;Margrituria;2.941;63.458;21.576;106.770;6165.490;132.010;8790.100;2059.690;58.240;48.530;675.560;180.540
UPL10;3230;15.01.2019;Aphania Senegalensis;2.109;46.178;21.897;104.120;7066.760;161.970;8370.210;1652.450;107.980;53.990;1259.100;291.150
UPL11;3232;15.01.2019;Uvariopsis Congnesis;3.466;44.618;12.874;134.370;9271.390;158.970;10785.390;3099.920;236.560;365.250;1296.370;1334.220
UPL11;3234;15.01.2019;Funtumia Latifolia;1.748;48.022;27.473;161.750;1817.630;268.900;4450.060;1037.200;202.180;12.130;940.150;843.110
UPL11;3236;15.01.2019;Banquetredendron Oblanceolatum;1.892;46.433;24.538;179.100;10175.120;193.030;8563.180;1787.060;59.700;107.460;931.340;302.490
UPL11;3237;15.01.2019;Chryssophylum Albidum;2.791;74.227;26.593;156.130;5676.170;221.350;14338.650;1751.070;73.130;65.220;934.830;533.620
UPL11;3239;15.01.2019;Banquetredendron Oblanceolatum;1.554;46.418;29.878;1.260;64.070;1.810;112.630;23.970;0.650;0.800;8.050;7.240
UPL11;3240;15.01.2019;Uvariopsis Congnesis;3.169;42.201;13.318;107.920;11368.040;157.890;17074.050;2540.220;135.900;145.900;1281.100;1375.040
UPL11;3243;28.12.2018;Banquetredendron Oblanceolatum;3.320;38.066;11.465;309.170;36549.320;464.750;41414.180;10567.470;225.390;221.400;1306.470;566.470
UPL11;3244;28.12.2018;Uvariopsis Congnesis;3.454;43.259;12.526;147.430;10114.020;202.480;17059.170;2313.740;96.320;139.570;1338.710;1495.970
UPL11;3247;28.12.2018;Bersama Abyssinica;1.788;40.904;22.877;152.450;26037.330;207.170;4463.990;3645.070;50.820;308.800;1274.310;1571.390
UPL11;3248;28.12.2018;Tabernaemontana Holistii;2.250;71.394;31.733;126.450;5812.950;171.200;16481.690;2682.750;202.320;60.310;957.150;597.250
UPL11;3265;28.12.2018;Uvariopsis Congnesis;3.516;45.236;12.866;44.380;6050.550;94.540;25014.470;2149.330;727.380;88.750;1252.170;526.720
UPL11;3266;28.12.2018;Celtis Durandii;3.676;37.266;10.139;212.160;5381.450;228.030;15694.240;2208.890;79.310;77.330;900.210;1056.860
UPL11;3267;28.12.2018;Chryssophylum Albidum;2.894;50.111;17.316;172.250;12092.980;299.490;8765.350;1291.900;78.300;101.790;1452.410;448.250
UPL11;3268;28.12.2018;Aphania Senegalensis;2.137;64.211;30.052;163.040;18335.820;369.820;16870.460;3240.880;53.680;133.210;1270.500;703.850
UPL11;3272;28.12.2018;Dasylepis Eggelingii;2.686;42.079;15.669;123.740;7809.600;163.660;13846.920;2915.880;331.300;61.870;2009.780;305.360
UPL11;3274;28.12.2018;Uvariopsis Congnesis;3.519;44.926;12.766;156.300;17428.720;293.310;8648.750;4141.060;77.190;310.680;1744.420;578.900
UPL11;3275;28.12.2018;Celtis Durandii;2.663;36.767;13.805;251.520;26558.400;534.730;9852.950;2628.110;65.360;360.450;1301.180;1418.030
UPL6;3277;28.12.2018;Uvariopsis Congnesis;3.713;44.716;12.044;108.790;11839.840;155.120;17313.520;5183.580;1118.110;86.630;1021.410;1621.760
UPL6;3278;28.12.2018;Ritchiea Albersii;2.228;48.366;21.707;251.520;19968.060;475.100;17380.980;3277.770;55.890;259.510;1283.560;1722.730
UPL6;3279;28.12.2018;Banquetredendron Oblanceolatum;1.668;65.638;39.353;35.930;7924.740;94.540;16556.680;3471.680;32.150;100.220;1213.950;943.560
UPL6;3281;28.12.2018;Funtumia Latifolia;1.699;48.452;28.514;69.930;1328.600;129.860;5604.120;957.000;145.850;9.990;1066.880;447.530
UPL6;3287;28.12.2018;Trema Orientalis;2.346;43.632;18.598;89.740;6517.430;221.370;19468.510;2883.780;55.840;69.800;1806.850;1039.040
UPL6;3289;28.12.2018;Trema Orientalis;-9999.000;-9999.000;-9999.000;345.680;9503.310;320.690;13900.490;2601.630;266.410;234.450;1189.280;1202.950
UPL6;3308;28.12.2018;Frema Orientalis;2.927;44.302;15.135;351.600;8468.550;86.490;19136.970;6234.840;116.570;9.400;1222.150;148.540
UPL6;3310;28.12.2018;Funtumia Latifolia;2.339;48.429;20.703;71.120;7260.320;159.550;24756.600;3262.050;136.480;38.440;2314.380;1703.110
UPL6;3312;28.12.2018;Uvariopsis Congnesis;3.150;41.389;13.138;173.210;15766.260;384.250;9570.450;4901.700;97.560;173.210;1447.410;1521.080
UPL6;3313;28.12.2018;Celtis Durandii;2.431;35.845;14.746;276.760;27577.370;542.310;7955.120;5669.940;57.970;336.610;1340.810;1466.110
UPL6;3314;28.12.2018;Chryssophylum Albidum;2.686;49.086;18.275;50.390;4269.380;122.090;12085.270;1866.280;455.430;23.260;1961.240;294.570
UPL6;3315;28.12.2018;Celtis Durandii;2.961;38.300;12.933;461.640;17888.410;999.560;22860.780;3458.360;88.020;207.350;1562.910;1664.630
UPL6;3335;28.12.2018;Banquetredendron Oblanceolatum;2.326;47.285;20.332;202.310;20649.740;342.380;15364.260;2112.630;361.830;79.760;1262.520;957.110
UPL6;3339;28.12.2018;Banquetredendron Oblanceolatum;2.096;47.663;22.735;293.440;11256.950;785.780;44789.520;2085.570;57.110;133.920;2879.230;1028.010
UPL6;3350;28.12.2018;Banquetredendron Oblanceolatum;1.863;46.373;24.889;60.050;6227.600;102.660;11591.280;2369.010;428.090;54.240;1137.050;207.260
UPL12;3356;28.12.2018;Uvariopsis Congnesis;3.438;45.476;13.229;149.450;11614.700;208.840;17029.270;2444.800;162.860;149.450;1153.420;2385.400
UPL12;3357;28.12.2018;Uvariopsis Congnesis;3.273;43.313;13.233;106.810;10160.710;338.560;20510.860;3822.860;334.530;106.810;2013.200;1690.770
