plotID;season;layer;o_hor;min_fr_liv;max_fr_liv;mean_fr_liv;sd_fr_liv;min_fr_dead;max_fr_dead;mean_fr_dead;sd_fr_dead;min_cr_liv;max_cr_liv;mean_cr_liv;sd_cr_liv;min_cr_dead;max_cr_dead;mean_cr_dead;sd_cr_dead;no
KBPL16;weak_dry;4;0.0000;0.0110;0.1520;0.0790;0.0740;0.0000;0.0080;0.0030;0.0040;0.0000;0.0870;0.0220;0.0430;0.0000;0.0400;0.0100;0.0000;4
KBPL16;weak_dry;O;4.2500;1.9420;7.1350;5.2960;2.4480;0.0000;0.7160;0.2550;0.3390;0.0000;7.3610;2.1870;3.4650;0.0000;0.2150;0.0540;0.0000;4
KBPL16;weak_rain;1;0.0000;0.1930;0.6340;0.3580;0.1920;0.0000;0.0000;0.0000;0.0000;0.0000;2.2870;0.5780;1.1390;0.0000;0.2750;0.0690;0.0000;4
KBPL16;weak_rain;2;0.0000;0.0410;0.4680;0.2790;0.1980;0.0000;0.0000;0.0000;0.0000;0.0000;0.3860;0.0960;0.1930;0.0000;0.0000;0.0000;0.0000;4
KBPL16;weak_rain;3;0.0000;0.0250;0.1380;0.1030;0.0530;0.0000;0.1380;0.0340;0.0690;0.0000;21.2960;5.4070;10.5940;0.0000;0.0000;0.0000;0.0000;4
KBPL16;weak_rain;4;0.0000;0.0000;0.1100;0.0430;0.0480;0.0000;0.0000;0.0000;0.0000;0.0000;0.3440;0.1340;0.1670;0.0000;0.0000;0.0000;0.0000;4
KBPL16;weak_rain;O;5.2500;1.6530;14.6010;5.9460;5.8860;0.0000;0.0000;0.0000;0.0000;0.0000;2.7940;1.2040;1.1920;0.0000;2.0860;0.5210;1.0000;4
KBPL2;strong_dry;1;0.0000;0.4790;2.5620;1.5740;0.8550;0.0000;0.2840;0.1140;0.1220;0.4130;2.3530;1.7250;0.8850;0.0000;1.4880;0.3720;1.0000;4
KBPL2;strong_dry;2;0.0000;0.4270;0.7880;0.5500;0.1620;0.0000;0.4680;0.1240;0.2300;0.8840;2.4020;1.4750;0.6570;0.0000;1.1570;0.2890;1.0000;4
KBPL2;strong_dry;3;0.0000;0.0360;1.0740;0.3670;0.4760;0.0000;0.3030;0.1410;0.1570;0.0000;4.7110;2.2590;2.6130;0.0000;0.0000;0.0000;0.0000;4
